Client,Workstream,Priority,Area,Assign To,Start,Finish,Duration,Status,Remarks,Week,Risks and Dependencies,Month,Year
Internal,Drill and Blast Design and Engineering Process,1,Procedure,Glen,8-Apr-26,30-Apr-26,22,In progress,In progress; conducting daily coordination with DB Engineer,15,"Availability of DB Engineer, non-compliance, unanswered questions, demo failure",4,2026
Internal,Drill and Blast Design and Engineering training and familiarization,1,Training,Glen,8-Apr-26,30-Apr-26,22,In progress,In progress; conducting daily coordination with DB Engineer,15,"Availability of DB Engineer, non-compliance, unanswered questions, demo failure",4,2026
TML Kimberly Kid,Kimberly Kid Pit Optimization,1,Optimization,"Glen, Steph",8-Apr-26,8-Apr-26,0,Completed,Completed,15,Optimization input dependency,4,2026
OZL Eclipse,Eclipse Ozland Pit Optimization,1,Optimization,"Glen, Steph",12-Apr-26,12-Apr-26,0,Completed,Completed,15,Optimization input dependency,4,2026
OZL Eclipse,Eclipse Ozland Pit Shell Extent Projection,1,Others,Glen,12-Apr-26,13-Apr-26,1,Completed,Completed,15,Input dependency,4,2026
Internal,Updating and generation of GIS Map Process,2,Procedure,Glen,14-Apr-26,14-Apr-26,0,Completed,Completed,16,"Input dependency, compliance",4,2026
Internal,Drill and Blast Design and Engineering Process,1,Procedure,Glen,15-Apr-26,30-Apr-26,15,In progress,In progress; conducting daily coordination with DB Engineer,16,"Availability of DB Engineer, non-compliance, unanswered questions, demo failure",4,2026
Internal,Drill and Blast Design and Engineering training and familiarization,1,Training,Glen,15-Apr-26,30-Apr-26,15,In progress,In progress; conducting daily coordination with DB Engineer,16,"Availability of DB Engineer, non-compliance, unanswered questions, demo failure",4,2026
OZL Eclipse,Ozland Eclipse Optimization runs RF1.20 or less,1,Optimization,Glen,15-Apr-26,16-Apr-26,1,Completed,"50-meter extent, RF0.55 to RF1.20, target Au grade at 2.0 gpt, COG at 0.84 gpt",16,Input dependency,4,2026
OZL Eclipse,Ozland Eclipse Pit Shell Extent Projection at RF1.00,1,Others,Glen,15-Apr-26,16-Apr-26,1,Completed,Pit shell selected by Steve at RF1.00,16,Input dependency,4,2026
OZL Eclipse,Ozland Eclipse Optimization runs RF1.00 or less at 4koz output,1,Optimization,Glen,17-Apr-26,18-Apr-26,1,Completed,"70-meter extent, RF0.55 to RF1.20, target Au grade at 2.0 gpt, COG at 0.84 gpt, target metal output at 4koz",16,Input dependency,4,2026
Internal,Orientation of newly hired employee (King Paje),1,Others,"Glen, Steph",20-Apr-26,20-Apr-26,0,Completed,"Overview of the mining services unit, work processes and procedures, etc.",17,Presentation materials,4,2026
TML Golden Kangaroo,Review GK Pit Design of Strategic Mines and Reconcile,1,Others,Glen,21-Apr-26,21-Apr-26,0,Completed,"GG Au oz is 12koz versus SM Au oz at 6koz
Different BM used (SM dated Apr 1, 2026; GG dated Mar 26, 2026)",17,Input dependencies and assumption,4,2026
OZL Eclipse,Ozland Eclipse re-run resulting to material production (ore/waste) by 5m elevation,1,Others,"Glen, Steph",21-Apr-26,21-Apr-26,0,Completed,Material production by 5m elevation at 70m as per client request per Steve,17,Input dependencies and assumption,4,2026
Internal,Drill and Blast Design and Engineering Process,1,Procedure,Glen,22-Apr-26,30-Apr-26,8,In progress,In progress; conducting daily coordination with DB Engineer,17,"Availability of DB Engineer, non-compliance, unanswered questions, demo failure",4,2026
Internal,Drill and Blast Design and Engineering training and familiarization,1,Training,Glen,22-Apr-26,30-Apr-26,8,In progress,In progress; conducting daily coordination with DB Engineer,17,"Availability of DB Engineer, non-compliance, unanswered questions, demo failure",4,2026
Internal,Pit Design process via Deswik SPD,1,Procedure,"Glen, Steph",22-Apr-26,30-Apr-26,8,Completed,"Pit design scenarios, model/field interrogation, output reports",17,Availability of reference materials,4,2026
Internal,Pit Design process via Deswik SPD,1,Training,"Glen, Steph",22-Apr-26,30-Apr-26,8,In progress,In progress; review Deswik SPD,17,Availability of reference materials,4,2026
OZL Eclipse,"Ozland Eclipse pit design of RF1.000 and RF1.213, analyses and recommendation",1,Design,Glen,23-Apr-26,23-Apr-26,0,Completed,"Advice of Steve via email dated April 23, 2026",17,Input dependencies and assumption,4,2026
Internal,Drill and Blast Design and Engineering Process,1,Procedure,Glen,27-Apr-26,15-May-26,18,In progress,In progress; conducting daily coordination with DB Engineer,18,"Availability of DB Engineer, non-compliance, unanswered questions, demo failure",4,2026
Internal,Drill and Blast Design and Engineering training and familiarization,1,Training,Glen,27-Apr-26,15-May-26,18,In progress,In progress; conducting daily coordination with DB Engineer,18,"Availability of DB Engineer, non-compliance, unanswered questions, demo failure",4,2026
Internal,Pseudoflow Training of Junior Mining Engineer,1,Training,Glen,27-Apr-26,30-Apr-26,3,Completed,Pseudoflow training using Kimberly Kid Project,18,Presentation materials,4,2026
Internal,Integrated Planning process via Deswik IS and Sched,1,Procedure,Glen,27-Apr-26,15-May-26,18,In progress,In progress; review Deswik IS and Sched,18,Availability of reference materials,4,2026
TML White Devil,"White Devil Dump Design from Starter Pit to Stage-1, analyses and recommendation",1,Design,Glen,1-May-26,5-May-26,4,Completed,"Dump design from existing data from Maya, Stephanie and Clinton",18,Input dependencies and assumption,5,2026
Internal,Pit design training of Junior Mining Engineer,1,Training,"Glen, Steph",1-May-26,15-May-26,14,In progress,Pit design training using Kimberly Kid Project,18,Presentation materials,5,2026
Internal,Drill and Blast Design and Engineering Process,1,Procedure,Glen,4-May-26,31-May-26,27,In progress,In progress; conducting daily coordination with DB Engineer,19,"Availability of DB Engineer, non-compliance, unanswered questions, demo failure",5,2026
Internal,Drill and Blast Design and Engineering training and familiarization,1,Training,Glen,4-May-26,31-May-26,27,In progress,In progress; conducting daily coordination with DB Engineer,19,"Availability of DB Engineer, non-compliance, unanswered questions, demo failure",5,2026
Internal,Pit Design Training of Junior Mining Engineer,1,Training,Glen,4-May-26,8-May-26,4,In progress,Pit design training using Kimberly Kid Project,19,Presentation materials,5,2026
Internal,Integrated Planning process via Deswik IS and Sched,1,Procedure,Glen,4-May-26,15-May-26,11,In progress,In progress; review Deswik IS and Sched,19,Availability of reference materials,5,2026
TML White Devil,White Devil Revised Dump Design from Starter Pit to Stage-1,1,Design,"Glen, Steph",5-May-26,15-May-26,10,Completed,Revised dump design based on given parameters by Steve,19,Input dependencies and assumption,5,2026
OZL Star of the East,Ozland Star of the East pit optimization runs and analyses,1,Optimization,Steph,7-May-26,8-May-26,1,In progress,Completed; subject to review,19,Input dependencies and assumption,5,2026
TML Kimberly Kid,"Kimberly Kid Pit Optimization re-runs, analyses and recommendations",1,Optimization,King,11-May-26,15-May-26,4,In progress,Re-runs based on advise of Steve,20,Input dependencies and assumption; assignee under study,5,2026
Internal,Drill and Blast Design and Engineering Process,1,Procedure,Glen,11-May-26,31-May-26,20,In progress,In progress; conducting daily coordination with DB Engineer,20,"Availability of DB Engineer, non-compliance, unanswered questions, demo failure",5,2026
Internal,Drill and Blast Design and Engineering training and familiarization,1,Training,Glen,11-May-26,31-May-26,20,In progress,In progress; conducting daily coordination with DB Engineer,20,"Availability of DB Engineer, non-compliance, unanswered questions, demo failure",5,2026
Internal,Pit Design Training of Junior Mining Engineer,1,Training,Glen,11-May-26,15-May-26,4,In progress,Pit design training using Kimberly Kid Project,20,Presentation materials,5,2026
Internal,Integrated Planning process via Deswik IS and Sched,1,Procedure,Glen,11-May-26,15-May-26,4,In progress,In progress; review Deswik IS and Sched,20,Availability of reference materials,5,2026
Internal,Draft of Drill and Blast Design and Engineering Process,1,Procedure,Glen. King,18-May-26,22-May-26,4,Completed,Draft completed by King,21,"Availability of DB Engineer, non-compliance, unanswered questions, demo failure",5,2026
Internal,Drill and Blast Design and Engineering training and familiarization,1,Training,"Glen, Steph",18-May-26,31-May-26,13,In progress,In progress; conducting daily coordination with DB Engineer,21,"Availability of DB Engineer, non-compliance, unanswered questions, demo failure",5,2026
Internal,OPDB Training of Junior Mining Engineer,1,Training,Glen. King,18-May-26,22-May-26,4,In progress,Pit design training using Kimberly Kid Project,21,Deswik OPDB hoarded by Kevin,5,2026
Internal,Integrated Planning process via Deswik IS and Sched,1,Procedure,Glen,18-May-26,31-May-26,13,In progress,In progress; review Deswik IS and Sched,21,Availability of reference materials,5,2026
TML Juno,Revised WRD design and volume calculations for Juno Project (for GIS Map updates),1,Design,Glen,21-May-26,21-May-26,0,Completed,WRD revised design and volume calculations,21,Availability of reference materials,5,2026
TML Tenant Creek Dist,TML 5-Year LOM mine and mill revised schedule,1,Others,"Glen, Steph",22-May-26,22-May-26,0,Completed,Reformat template of LOM schedule,21,Reference materials and inputs,5,2026
Internal,OPDB Training of Junior Mining Engineer,1,Training,Glen. King,25-May-26,29-May-26,4,In progress,OPDB training using Nobles Nob Project,22,Deswik OPDB hoarded by Kevin,5,2026
Internal,Integrated Planning process via Deswik IS and Sched,1,Training,Glen,25-May-26,29-May-26,4,In progress,IS training using sample working project,22,Presentation materials,5,2026
Internal,Integrated Planning process via Deswik IS and Sched,1,Procedure,Glen,25-May-26,31-May-26,6,In progress,In progress; review Deswik IS and Sched,22,Availability of reference materials,5,2026
Internal,OPDB Training of Junior Mining Engineer,1,Training,Glen. King,25-May-26,29-May-26,4,In progress,OPDB training using Nobles Nob Project,22,Deswik OPDB hoarded by Kevin,5,2026
TML Nobles Nob,Noble Nob Dry Stacked Tails revised design and analyses,1,Design,Glen,27-May-26,27-May-26,0,Completed,Revised DST design in reference to the design of Barend,22,Inputs and assumptions,5,2026
TML White Devil,"White Devil WRD re-design, volume estimates, analyses and PPT",1,Design,Glen,29-May-26,30-May-26,1,Completed,"Use RF2.0 Pseudoflow dated Feb 13, 2026",22,Inputs and assumptions,5,2026
TML Nobles Nob,"Nobles Nob DST re-design, volume estimates, analyses and PPT",1,Design,Glen,29-May-26,30-May-26,1,Completed,Refer to Markus inputs and assumptions,22,Inputs and assumptions,5,2026
Internal,GG SOP 001,1,Procedure,Glen,1-Jun-26,5-Jun-26,4,Completed,Updates on Mining Section of GG SOP 001,23,Reference materials and inputs,6,2026
Internal,OPDB Training of Junior Mining Engineer,1,Training,King,1-Jun-26,5-Jun-26,4,In progress,OPDB training using Nobles Nob Project,23,Availability of reference materials,6,2026
Internal,Deswik.OPDB procedure (Pass 2),1,Procedure,King,1-Jun-26,5-Jun-26,4,Completed,Deswik.OPDB documented procedure (pass 2),23,Availability of Deswik.OPDB hoarded by Kevin,6,2026
Internal,Integrated Planning process via Deswik IS and Sched,1,Procedure,Glen,1-Jun-26,5-Jun-26,4,In progress,In progress; review Deswik IS and Sched,23,Availability of reference materials,6,2026
TML White Devil,White Devil WRD and site development revised design and layout,1,Design,Glen,3-Jun-26,4-Jun-26,1,Completed,"Revision based on meeting with Steve and TML dated Jun 3, 2026",23,Inputs and assumptions,6,2026
TML Nobles Nob,Nobles Nob DST and site development revised design and layout,1,Design,Glen,3-Jun-26,4-Jun-26,1,Completed,"Revision based on meeting with Steve and TML dated Jun 3, 2026",23,Inputs and assumptions,6,2026
Internal,Integrated Planning process via Deswik IS and Sched,1,Procedure,Glen,8-Jun-26,13-Jun-26,5,In progress,In progress; review Deswik IS and Sched,24,Availability of reference materials,6,2026
Internal,OPDB Training of Junior Mining Engineer,1,Training,King,8-Jun-26,12-Jun-26,4,In progress,OPDB training using Nobles Nob Project,24,Availability of reference materials,6,2026
TML White Devil,White Devil WRD and site development revised design and layout,1,Design,Glen,11-Jun-26,13-Jun-26,2,Completed,"Revision based on email of Steve dated Jun 11, 2026",24,Inputs and assumptions,6,2026
Internal,Research Global Metal Market Price trend and cost trends in Oceania and Americas,2,Others,King,15-Jun-26,19-Jun-26,4,Completed,Global metal price and cost trend research for upcoming projects,25,Availability of reference materials,6,2026
Internal,Deswik Training of Junior Mining Engineer,1,Training,King,15-Jun-26,19-Jun-26,4,In progress,Training using White Devil Project,25,Availability of reference materials,6,2026
Internal,Deswik.IS documented process,1,Procedure,Glen,15-Jun-26,19-Jun-26,4,In progress,Deswik.IS documented process,25,Availability of reference materials,6,2026
TML White Devil,White Devil WRD and site development revised design and layout,1,Design,Glen,18-Jun-26,20-Jun-26,2,Completed,"Revision based on email of Steve dated Jun 18, 2026",25,Inputs and assumptions,6,2026
Internal,Deswik.IS documented process (1st pass),1,Procedure,Glen,22-Jun-26,26-Jun-26,4,Completed,Deswik.IS documented process (1st pass),26,Availability of reference materials,6,2026
ARCT Bidjovagge,Arctic Bidjovagge sanitize underground openings and convert to ArcGIS compatible files,1,Others,"Glen, Steph",22-Jun-26,26-Jun-26,4,Completed,Files from Ranee,26,Inputs and assumptions,6,2026
Internal,Deswik Training of Junior Mining Engineer,1,Training,King,22-Jun-26,26-Jun-26,4,In progress,Training using White Devil Project,26,Availability of reference materials,6,2026
Internal,Deswik Training - Deswik.IS,1,Training,Glen,22-Jun-26,26-Jun-26,4,In progress,Training using Deswik.IS and Deswik.CAD,26,Availability of reference materials,6,2026
Internal,Deswik Training of Junior Mining Engineer,1,Training,King,29-Jun-26,3-Jul-26,4,In progress,Training using White Devil Project,27,Availability of reference materials,6,2026
Internal,Deswik Training - Deswik.IS,1,Training,Glen,29-Jun-26,3-Jul-26,4,In progress,Training using Deswik.IS and Deswik.CAD,27,Availability of reference materials,6,2026
TML White Devil,TML Movies preparation and collaboration with Movies team,2,Others,Glen,29-Jun-26,3-Jul-26,4,In progress,Data generation and preparation for Movies requirements,27,Inputs and assumptions,6,2026
ARCT Bidjovagge,Bidjovagge project pit optimization via Pseudoflow Algorithm,1,Optimization,Steph,6-Jul-26,10-Jul-26,4,In progress,Pit optimization of the project using Au-Cu parameters,28,Inputs and assumptions,7,2026
Internal,Self-paced Deswik training,1,Training,"Glen, King",6-Jul-26,10-Jul-26,4,In progress,Self-paced training of Deswik applications,28,Availability of reference materials,7,2026
TML White Devil,TML Movies dataset requirements,2,Others,Glen,6-Jul-26,10-Jul-26,4,In progress,For review by Movies team,28,Inputs and assumptions,7,2026
TML White Devil,White Devil project revised pit and dump design (Starter Pit),1,Design,Glen,7-Jul-26,10-Jul-26,3,Completed,"East ramp for the existing pit design and revision of WRD1, for site feedback",28,Inputs and assumptions,7,2026
Internal,Drill and blast PPT for Clark,2,Presentation,King,7-Jul-26,7-Jul-26,0,Completed,Drill and blast PPT c/o King,28,Availability of reference materials,7,2026
TML White Devil,White Devil project drill and blast package (Starter Pit),1,Design,King,8-Jul-26,10-Jul-26,2,In progress,Starter pit design,28,Inputs and assumptions,7,2026
TML Nobles Nob,Nobles Nob dataset conversion for Approvals,1,Others,Glen,9-Jul-26,10-Jul-26,1,Completed,In collaboration with GIS unit,28,Availability of reference materials,7,2026
TML White Devil,TML White Devil drill and blast package,1,Design,King,13-Jul-26,17-Jul-26,4,In progress,,29,,7,2026
TML White Devil,TML White Devil revised pit design,1,Design,Glen,13-Jul-26,13-Jul-26,0,Completed,,29,,7,2026
TML White Devil,TML White Devil revised dump design,1,Design,Glen,13-Jul-26,13-Jul-26,0,Completed,,29,,7,2026
Internal,Self-paced Deswik training,2,Training,"Glen, King",14-Jul-26,17-Jul-26,3,In progress,,29,,7,2026
ARCT Bidjovagge,Arctic Bidjovagge pit optimization,1,Optimization,Steph,15-Jul-26,17-Jul-26,2,Completed,,29,,7,2026
TML White Devil,TML White Devil scenes and notes for Movies,3,Others,Glen,20-Jul-26,24-Jul-26,4,In progress,Scenes and notes for Movies for review,30,Inputs and assumptions,7,2026
TML White Devil,TML White Devil drill and blast package,1,Design,King,20-Jul-26,24-Jul-26,4,In progress,RL+330 drill and blast package,30,Inputs and assumptions,7,2026
Internal,Self-paced Deswik training,2,Training,"Glen, King",20-Jul-26,24-Jul-26,4,In progress,,30,,7,2026
TML White Devil,TML White Devil pit optimization (Cu mineralization),1,Optimization,Glen,23-Jul-26,26-Jul-26,3,In progress,From Au mineralization to Cu mineralization,30,Inputs and assumptions,7,2026
TML Chariot,TML Chariot pit optimization (Au mineralization),1,Optimization,"Glen, Steph",26-Jul-26,27-Jul-26,1,In progress,Lack area constraints which requires BM extension,30,Inputs and assumptions,7,2026
TML Chariot,TML Chariot pit optimization (Au mineralization),1,Optimization,"Glen, Steph",27-Jul-26,31-Jul-26,4,In progress,Lack area constraints which requires BM extension,31,Inputs and assumptions,7,2026
Internal,Self-paced Deswik training,2,Training,"Glen, King",27-Jul-26,31-Jul-26,4,In progress,,31,,7,2026
Internal,Mining business unit procedure updates,2,Procedure,Glen,27-Jul-26,31-Jul-26,4,Completed,,31,,7,2026
TML White Devil,TML White Devil pit optimization (Cu mineralization),1,Optimization,Glen,28-Jul-26,31-Jul-26,3,In progress,From Au mineralization to Cu mineralization,31,Inputs and assumptions,7,2026
TML White Devil,TML White Devil drill and blast package,1,Design,King,29-Jul-26,31-Jul-26,2,In progress,,31,,7,2026
Internal,Self-paced Deswik training,1,Training,"Glen, King",3-Aug-26,7-Aug-26,4,In progress,,32,Availability of reference materials,8,2026
ARCT Bidjovagge,ARCT Bidjovagge revised pit optimization,1,Optimization,Steph,3-Aug-26,3-Aug-26,0,Completed,Revised BM c/o 3D Modeling team,32,Inputs and assumptions,8,2026
TML White Devil,TML White Devil drill and blast package,1,Design,King,4-Aug-26,7-Aug-26,3,In progress,,32,Inputs and assumptions,8,2026
ARCT Bidjovagge,ARCT Bidjovagge historical stopeshells generation,1,Others,Glen,5-Aug-26,6-Aug-26,1,Completed,Historical drives and stopes solids,32,Inputs and assumptions,8,2026
Internal,Mining business unit Loop updates,2,Procedure,"Glen, King",6-Aug-26,7-Aug-26,1,In progress,Uploaded MBU processes and workflows,32,Availability of reference materials,8,2026
Internal,Unit dashboard improvements,3,Others,"Glen, King",7-Aug-26,7-Aug-26,0,In progress,Insertion of Assignee photos,32,Inputs and assumptions,8,2026
Internal,Self-paced Deswik training,1,Training,"Glen, King",10-Aug-26,14-Aug-26,4,In progress,Continuous upskilling/familiarization of Deswik software,33,Availability of reference materials,8,2026
ARCT Bidjovagge,ARCT Bidjovagge revised pit optimization,1,Optimization,Steph,11-Aug-26,12-Aug-26,1,Completed,Revised pit optimization runs,33,Inputs and assumptions,8,2026
ARCT Hennes Bay,ARCT Hennes Bay underground dataset conversions,1,Others,Glen,12-Aug-26,13-Aug-26,1,Completed,Datasets for Deswik compatibility,33,Inputs and assumptions,8,2026
ARCT Hennes Bay,ARCT Hennes Bay underground conceptual layout,1,Design,Glen,14-Aug-26,16-Aug-26,2,In progress,"Underground conceptual design based on meeting with ARCT technical personnel dated Aug 13, 2026",33,Inputs and assumptions,8,2026
Internal,Self-paced Claude AI training,2,Training,"Glen, King",14-Aug-26,16-Aug-26,2,In progress,Company subscription of Claude AI platform,33,Resource planning risk,8,2026
TML White Devil,TML White Devil drill and blast package,1,Design,King,17-Aug-26,21-Aug-26,4,Completed,Revised inputs and assumptions c/o Kevin Gocela,34,Inputs and assumptions,8,2026
Internal,Self-paced Deswik training,1,Training,"Glen, King, Steph",17-Aug-26,21-Aug-26,4,In progress,Continuous upskilling/familiarization of Deswik software,34,Availability of reference materials,8,2026
Internal,Self-paced Claude AI training,2,Training,"Glen, King, Steph",17-Aug-26,21-Aug-26,4,In progress,Continuous upskilling/familiarization of Claude AI,34,Resource planning risk,8,2026
ARCT Bidjovagge,ARCT Bidjovagge pit optimization runs,1,Optimization,Steph,18-Aug-26,18-Aug-26,0,Completed,Revised pit optimization runs,34,Inputs and assumptions,8,2026
ARCT Hennes Bay,ARCT Hennes Bay revised conceptual UG design,1,Design,Glen,20-Aug-26,22-Aug-26,2,In progress,Revised inputs and assumptions c/o Peter George,34,Inputs and assumptions,8,2026
ARCT Bidjovagge,ARCT Bidjovagge UG solid block model,2,Others,Glen,20-Aug-26,22-Aug-26,2,In progress,Revised inputs and assumptions c/o Ranee,34,Inputs and assumptions,8,2026
TML Tenant Creek Dist,Open pit mining cost model,2,Others,Glen,21-Aug-26,21-Aug-26,0,Completed,Back calculations of existing AUD 4.5 per tonne mining costs,34,Inputs and assumptions,8,2026
ARCT Bidjovagge,ARCT Bidjovagge UG solid block model,2,Others,Glen,24-Aug-26,28-Aug-26,4,In progress,Revised inputs and assumptions c/o Ranee,35,Software accessibility and availability,8,2026
TML White Devil,TML White Devil drill and blast package,1,Design,King,24-Aug-26,28-Aug-26,4,Completed,Revised inputs and assumptions c/o Kevin Gocela,35,Software accessibility and availability,8,2026
Internal,Self-paced QGIS training,2,Training,King,25-Aug-26,28-Aug-26,3,In progress,Continuous upskilling/familiarization of QGIS software,35,Availability of reference materials,8,2026
ARCT Hennes Bay,ARCT Hennes Bay revised conceptual UG design,1,Design,Glen,26-Aug-26,29-Aug-26,3,In progress,Revised inputs and assumptions c/o Peter George,35,Software accessibility and availability,8,2026
Webbs Patch,Data and reference review,2,Others,Steph,26-Aug-26,27-Aug-26,1,Completed,"Reference materials shared by Leo Dagdag dated Aug 25, 2026",35,Inputs and assumptions,8,2026
ARCT Hennes Bay,ARCT Hennes Bay movies team requirements,1,Design,Glen,31-Aug-26,2-Sep-26,2,Completed,Awaiting feedback from Movies team,36,Software accessibility and availability,8,2026
TML White Devil,TML White Devil drill and blast package,1,Design,King,31-Aug-26,4-Sep-26,4,In progress,TML White Devil mining support,36,Inputs and assumptions,8,2026
Internal,Self-paced QGIS training,2,Training,King,1-Sep-26,4-Sep-26,3,In progress,Continuous upskilling/familiarization of QGIS software,36,Availability of reference materials,9,2026
ARCT Hennes Bay,ARCT Hennes Bay revised pre-production and sustaining capital studies,1,Others,Glen,2-Sep-26,3-Sep-26,1,Completed,Revised based on inputs and feedback of Peter George,36,Inputs and assumptions,9,2026
ARCT Bidjovagge,ARCT Bidjovagge UG solid block model and conceptual underground design,2,Design,Glen,3-Sep-26,6-Sep-26,3,In progress,Stopeshell modeling and conceptual underground design,36,Software accessibility and availability,9,2026
ARCT Bidjovagge,ARCT Bidjovagge UG solid block model and conceptual underground design,1,Design,Glen,7-Sep-26,8-Sep-26,1,Completed,Additional requirements of 3D Modeling and Movies teams,37,Inputs and assumptions,9,2026
Internal,Self-paced QGIS training,2,Training,King,7-Sep-26,11-Sep-26,4,In progress,Continuous upskilling/familiarization of QGIS software,37,Availability of reference materials,9,2026
ARCT Hennes Bay,ARCT Hennes Bay Movies inputs updated,1,Others,Glen,8-Sep-26,9-Sep-26,1,Completed,Additional inputs based on the initial rendered movie,37,Inputs and assumptions,9,2026
TML Tenant Creek Dist,Mining support requirements,1,Others,King,8-Sep-26,9-Sep-26,1,Completed,Repair and validation of surface topography and boundary,37,Inputs and assumptions,9,2026
Internal,Deswik planning training for Jr. EM,2,Training,"Glen, King",10-Sep-26,11-Sep-26,1,In progress,Continuous upskilling/familiarization of Deswik software for Jr. EM,37,Availability of reference materials,9,2026
